config,case_id,WT_dice,WT_hd95,WT_sensitivity,WT_specificity,TC_dice,TC_hd95,TC_sensitivity,TC_specificity,ET_dice,ET_hd95,ET_sensitivity,ET_specificity
baseline_unet,BraTS2021_00583,0.9582549661196126,2.23606797749979,0.9393353916870292,0.9991391961416276,0.8779330534195057,7.280109889280518,0.8182531206194513,0.9993131092744516,0.8409093853230897,2.449489742783178,0.8295294809211031,0.9986027029517309
baseline_unet,BraTS2021_00310,0.9367977175978937,3.0,0.9610308111722649,0.9973718371951955,0.94167925750059,2.449489742783178,0.9623936752197084,0.9986381390570762,0.84575800355225,3.1622776601683795,0.926099531265583,0.9968979270274263
baseline_unet,BraTS2021_00472,0.891910781779145,3.7416573867739413,0.8169049098819142,0.9996886553703184,0.7936831380545522,6.164414002968976,0.7407166449804824,0.9993572808018191,0.7038056839428468,3.7416573867739413,0.64245960502693,0.9994793829527379
baseline_unet,BraTS2021_01230,0.8198124143749187,13.549715216733514,0.928970623358013,0.9982896456718372,0.4214687688971608,3.7545745174351737,0.3015239236041791,0.9995300948492543,0.5176844615212763,5.656854249492381,0.4210753151600043,0.9995389582678742
baseline_unet,BraTS2021_00222,0.9396922072980051,1.4142135623730951,0.9852329095159359,0.999498837143561,0.7489507821490089,2.449489742783178,0.7461041429114406,0.99983485468359,0.7601089461604837,2.8284271247461903,0.7083170636470129,0.9998985699639159
baseline_unet,BraTS2021_00520,0.87069511710584,5.477225575051661,0.988057518888618,0.9968751437174184,0.9355341318534641,1.7320508075688772,0.9969904524699045,0.9996526179462666,0.8446127366619992,2.0,0.9769071508201943,0.9994339684839441
baseline_unet,BraTS2021_00327,0.937145888082582,2.23606797749979,0.9869891118875437,0.9966588249206065,0.8468243529441407,21.863211109075447,0.9850630154037654,0.9981699141447038,0.9001074626868057,22.095202449920148,0.981511379615645,0.9989358327734038
baseline_unet,BraTS2021_01416,0.9291102124073232,3.1622776601683795,0.9053028211781593,0.996941916819749,0.8199264720574737,9.305691022807709,0.7638747987304897,0.9966605401545032,0.7536188026431093,10.63014581273465,0.8611508137765688,0.9943589990396013
baseline_unet,BraTS2021_00099,0.8631974217549011,7.3484692283495345,0.8790384065567521,0.9959615087693389,0.8742607226284125,9.219544457292887,0.9474336187860182,0.9987781933236821,0.7372970141446774,7.2869458231873825,0.8356421927567782,0.9986998112831433
baseline_unet,BraTS2021_00511,0.9481202722942529,1.7320508075688772,0.9701140776967592,0.9983316675822248,0.9335746002413522,8.774964387392123,0.9380286775324943,0.9993372166589266,0.8474504648327368,1.4142135623730951,0.9483003204959807,0.9986882715682268
baseline_unet,BraTS2021_01088,0.9314447315814242,5.916079783099616,0.9944817533447863,0.9992931372403043,0.8889845094688257,1.5572403227111753,0.885934819897084,0.999934981508741,0.8566878980924321,1.7320508075688772,0.8865348399246704,0.9998988367000687
baseline_unet,BraTS2021_01639,0.9710280333593225,1.4142135623730951,0.9748348836405132,0.9989145527263547,0.9013975155280121,10.04987562112089,0.8452361381836969,0.9992762033823399,0.87937288339561,3.0,0.8369163312718825,0.9988617014903144
